,"Heavy","2-theta","Intensity"
,"","12.620","0.06667"
,"","12.640","0.06399"
,"","12.660","0.07034"
,"","12.680","0.06544"
,"","12.700","0.07014"
,"","12.720","0.07620"
,"","12.740","0.08395"
,"","12.760","0.07398"
,"","12.780","0.06632"
,"","12.800","0.05210"
,"","12.820","0.05265"
,"","12.840","0.04534"
,"","12.860","0.04318"
,"","12.880","0.04817"
,"","12.900","0.06437"
,"","12.920","0.08258"
,"","12.940","0.09479"
,"","12.960","0.09065"
,"","12.980","0.09249"
,"","13.000","0.08911"
,"","13.020","0.08768"
,"","13.040","0.07739"
,"","13.060","0.07212"
,"","13.080","0.07468"
,"","13.100","0.07261"
,"","13.120","0.06652"
,"","13.140","0.06725"
,"","13.160","0.05190"
,"","13.180","0.05163"
,"","13.200","0.04446"
,"","13.220","0.04065"
,"","13.240","0.04414"
,"","13.260","0.05286"
,"","13.280","0.06113"
,"","13.300","0.06183"
,"","13.320","0.07066"
,"","13.340","0.08383"
,"","13.360","0.08392"
,"","13.380","0.08039"
,"","13.400","0.07352"
,"","13.420","0.06830"
,"","13.440","0.06084"
,"","13.460","0.06195"
,"","13.480","0.06244"
,"","13.500","0.05495"
,"","13.520","0.06116"
,"","13.540","0.06923"
,"","13.560","0.07384"
,"","13.580","0.06055"
,"","13.600","0.06099"
,"","13.620","0.05455"
,"","13.640","0.05854"
,"","13.660","0.07049"
,"","13.680","0.07978"
,"","13.700","0.08138"
,"","13.720","0.09234"
,"","13.740","0.10079"
,"","13.760","0.09933"
,"","13.780","0.09225"
,"","13.800","0.09033"
,"","13.820","0.07789"
,"","13.840","0.07395"
,"","13.860","0.07489"
,"","13.880","0.08555"
,"","13.900","0.08558"
,"","13.920","0.10027"
,"","13.940","0.09747"
,"","13.960","0.10085"
,"","13.980","0.11609"
,"","14.000","0.10811"
,"","14.020","0.10863"
,"","14.040","0.10808"
,"","14.060","0.10889"
,"","14.080","0.11306"
,"","14.100","0.10295"
,"","14.120","0.11242"
,"","14.140","0.10586"
,"","14.160","0.10443"
,"","14.180","0.10569"
,"","14.200","0.08759"
,"","14.220","0.08007"
,"","14.240","0.07792"
,"","14.260","0.07550"
,"","14.280","0.06655"
,"","14.300","0.06955"
,"","14.320","0.08433"
,"","14.340","0.08226"
,"","14.360","0.09115"
,"","14.380","0.09403"
,"","14.400","0.08797"
,"","14.420","0.08529"
,"","14.440","0.08587"
,"","14.460","0.08377"
,"","14.480","0.07241"
,"","14.500","0.06874"
,"","14.520","0.06282"
,"","14.540","0.04889"
,"","14.560","0.05364"
,"","14.580","0.05574"
,"","14.600","0.06431"
,"","14.620","0.07640"
,"","14.640","0.08141"
,"","14.660","0.09167"
,"","14.680","0.09135"
,"","14.700","0.08756"
,"","14.720","0.07981"
,"","14.740","0.06151"
,"","14.760","0.06629"
,"","14.780","0.07095"
,"","14.800","0.07011"
,"","14.820","0.07515"
,"","14.840","0.07320"
,"","14.860","0.07637"
,"","14.880","0.07643"
,"","14.900","0.07145"
,"","14.920","0.07553"
,"","14.940","0.07701"
,"","14.960","0.09001"
,"","14.980","0.08721"
,"","15.000","0.08846"
,"","15.020","0.08844"
,"","15.040","0.08264"
,"","15.060","0.07946"
,"","15.080","0.08989"
,"","15.100","0.08730"
,"","15.120","0.10123"
,"","15.140","0.10974"
,"","15.160","0.10070"
,"","15.180","0.09493"
,"","15.200","0.10266"
,"","15.220","0.09936"
,"","15.240","0.09249"
,"","15.260","0.08479"
,"","15.280","0.07704"
,"","15.300","0.05985"
,"","15.320","0.06241"
,"","15.340","0.06711"
,"","15.360","0.06460"
,"","15.380","0.06891"
,"","15.400","0.07049"
,"","15.420","0.07923"
,"","15.440","0.09741"
,"","15.460","0.11108"
,"","15.480","0.11688"
,"","15.500","0.12367"
,"","15.520","0.12938"
,"","15.540","0.14549"
,"","15.560","0.14322"
,"","15.580","0.12384"
,"","15.600","0.11405"
,"","15.620","0.10837"
,"","15.640","0.12116"
,"","15.660","0.13232"
,"","15.680","0.14261"
,"","15.700","0.13320"
,"","15.720","0.11953"
,"","15.740","0.11886"
,"","15.760","0.09986"
,"","15.780","0.07730"
,"","15.800","0.07815"
,"","15.820","0.07445"
,"","15.840","0.09257"
,"","15.860","0.11026"
,"","15.880","0.11644"
,"","15.900","0.11877"
,"","15.920","0.13014"
,"","15.940","0.13419"
,"","15.960","0.13328"
,"","15.980","0.11868"
,"","16.000","0.12256"
,"","16.020","0.12463"
,"","16.040","0.12463"
,"","16.060","0.10732"
,"","16.080","0.11253"
,"","16.100","0.13637"
,"","16.120","0.14911"
,"","16.140","0.16685"
,"","16.160","0.17621"
,"","16.180","0.18830"
,"","16.200","0.20217"
,"","16.220","0.20072"
,"","16.240","0.19512"
,"","16.260","0.16531"
,"","16.280","0.17114"
,"","16.300","0.18615"
,"","16.320","0.18431"
,"","16.340","0.20826"
,"","16.360","0.20614"
,"","16.380","0.22217"
,"","16.400","0.23303"
,"","16.420","0.22490"
,"","16.440","0.21957"
,"","16.460","0.21569"
,"","16.480","0.21826"
,"","16.500","0.23301"
,"","16.520","0.22307"
,"","16.540","0.24755"
,"","16.560","0.23997"
,"","16.580","0.23371"
,"","16.600","0.22342"
,"","16.620","0.21118"
,"","16.640","0.19789"
,"","16.660","0.19314"
,"","16.680","0.17076"
,"","16.700","0.15829"
,"","16.720","0.13826"
,"","16.740","0.16563"
,"","16.760","0.16222"
,"","16.780","0.15470"
,"","16.800","0.14203"
,"","16.820","0.13946"
,"","16.840","0.12679"
,"","16.860","0.11979"
,"","16.880","0.10779"
,"","16.900","0.09904"
,"","16.920","0.09187"
,"","16.940","0.10496"
,"","16.960","0.10860"
,"","16.980","0.10639"
,"","17.000","0.09592"
,"","17.020","0.08832"
,"","17.040","0.09878"
,"","17.060","0.11740"
,"","17.080","0.12623"
,"","17.100","0.12719"
,"","17.120","0.11487"
,"","17.140","0.11428"
,"","17.160","0.10155"
,"","17.180","0.09249"
,"","17.200","0.08200"
,"","17.220","0.07433"
,"","17.240","0.08235"
,"","17.260","0.09590"
,"","17.280","0.10537"
,"","17.300","0.10505"
,"","17.320","0.11079"
,"","17.340","0.11457"
,"","17.360","0.12585"
,"","17.380","0.15313"
,"","17.400","0.18183"
,"","17.420","0.22193"
,"","17.440","0.24609"
,"","17.460","0.28366"
,"","17.480","0.30342"
,"","17.500","0.30738"
,"","17.520","0.33032"
,"","17.540","0.33332"
,"","17.560","0.33612"
,"","17.580","0.32592"
,"","17.600","0.33816"
,"","17.620","0.32539"
,"","17.640","0.30971"
,"","17.660","0.28506"
,"","17.680","0.24131"
,"","17.700","0.21610"
,"","17.720","0.20387"
,"","17.740","0.19570"
,"","17.760","0.18431"
,"","17.780","0.17970"
,"","17.800","0.18445"
,"","17.820","0.16388"
,"","17.840","0.19358"
,"","17.860","0.19253"
,"","17.880","0.19020"
,"","17.900","0.19270"
,"","17.920","0.20483"
,"","17.940","0.23079"
,"","17.960","0.25303"
,"","17.980","0.25728"
,"","18.000","0.24385"
,"","18.020","0.27078"
,"","18.040","0.29628"
,"","18.060","0.31709"
,"","18.080","0.34032"
,"","18.100","0.36098"
,"","18.120","0.40289"
,"","18.140","0.42180"
,"","18.160","0.49856"
,"","18.180","0.54686"
,"","18.200","0.59012"
,"","18.220","0.65294"
,"","18.240","0.67367"
,"","18.260","0.73483"
,"","18.280","0.76349"
,"","18.300","0.80483"
,"","18.320","0.80947"
,"","18.340","0.80582"
,"","18.360","0.83894"
,"","18.380","0.83233"
,"","18.400","0.83268"
,"","18.420","0.80597"
,"","18.440","0.78375"
,"","18.460","0.82576"
,"","18.480","0.83953"
,"","18.500","0.91735"
,"","18.520","0.91717"
,"","18.540","0.89998"
,"","18.560","0.85983"
